feature1,feature2,correlation_mean,correlation_std,shapiro_p_value,is_normal,positive_proportion,negative_proportion,ci_95,correlated,correlation_type
calc_width_0.5 s,force_width_0.5 s,0.3563,0.0654,0.0075,False,1.0,0.0,"(0.229, 0.483)",True,positive
calc_width_0.5 s,force_width_0.2 s,0.3773,0.0657,0.0212,False,1.0,0.0,"(0.244, 0.503)",True,positive
calc_width_0.5 s,force_width_0.8 s,0.285,0.0672,0.7026,True,1.0,0.0,"(0.154, 0.409)",True,positive
calc_width_0.5 s,force_rise_time_0.2_0.8 s,0.1342,0.0688,0.9028,True,0.979,0.021,"(0.005, 0.269)",True,positive
calc_width_0.5 s,force_rise_time_0.8_max s,0.1952,0.0651,0.2479,True,1.0,0.0,"(0.074, 0.321)",True,positive
calc_width_0.5 s,force_decay_time_max_0.8 s,0.2202,0.0724,0.2329,True,0.999,0.001,"(0.081, 0.355)",True,positive
calc_width_0.5 s,force_decay_time_0.2_0.8 s,0.3275,0.069,0.1169,True,1.0,0.0,"(0.189, 0.452)",True,positive
calc_width_0.5 s,calc_peak_amplitude,-0.1687,0.0693,0.6343,True,0.009,0.991,"(-0.304, -0.037)",True,negative
calc_width_0.2 s,duration,0.1203,0.0717,0.1404,True,0.947,0.053,"(-0.027, 0.258)",False,inconclusive
calc_width_0.2 s,force_peak_amplitude,0.1869,0.0727,0.8479,True,0.997,0.003,"(0.045, 0.327)",True,positive
calc_width_0.2 s,force_width_0.5 s,0.1837,0.0669,0.1512,True,0.997,0.003,"(0.051, 0.31)",True,positive
calc_width_0.2 s,force_width_0.2 s,0.2301,0.0658,0.3156,True,0.999,0.001,"(0.099, 0.354)",True,positive
calc_width_0.2 s,force_width_0.8 s,0.1745,0.0657,0.0017,False,0.995,0.005,"(0.037, 0.294)",True,positive
calc_width_0.2 s,force_rise_time_0.2_0.8 s,0.1918,0.0683,0.0154,False,0.994,0.006,"(0.056, 0.322)",True,positive
calc_width_0.2 s,force_rise_time_0.8_max s,0.1552,0.0648,0.4765,True,0.994,0.006,"(0.03, 0.278)",True,positive
calc_width_0.2 s,force_decay_time_max_0.8 s,0.0958,0.0688,0.0167,False,0.917,0.083,"(-0.034, 0.228)",False,inconclusive
calc_width_0.2 s,force_decay_time_0.2_0.8 s,0.2007,0.0684,0.388,True,0.997,0.003,"(0.07, 0.334)",True,positive
calc_width_0.2 s,calc_peak_amplitude,-0.0054,0.0715,0.6884,True,0.449,0.551,"(-0.147, 0.132)",False,inconclusive
calc_width_0.2 s,calc_width_0.5 s,0.5856,0.0512,0.1235,True,1.0,0.0,"(0.479, 0.681)",True,positive
calc_width_0.8 s,duration,0.1965,0.0698,0.2593,True,0.995,0.005,"(0.053, 0.331)",True,positive
