feature_pair,feature1,feature2,thesis_feature_pair,id
calc_decay_time_0.2_0.8 s vs calc_rise_time_0.2_0.8 s,calc_decay_time_0.2_0.8 s,calc_rise_time_0.2_0.8 s,Ca$^{2+}$ DT 0.2-0.8 [s] vs Ca$^{2+}$ RT 0.2-0.8 [s],128
calc_rise_time_0.2_0.8 s vs force_decay_time_max_0.8 s,calc_rise_time_0.2_0.8 s,force_decay_time_max_0.8 s,Ca$^{2+}$ RT 0.2-0.8 [s] vs Force DT Max-0.8 [s],129
force_peak_amplitude vs local_frequency[Hz],force_peak_amplitude,local_frequency[Hz],Force Peak Amplitude [mN] vs Local Frequency [Hz],130
calc_decay_time_max_0.8 s vs calc_rise_time_0.2_0.8 s,calc_decay_time_max_0.8 s,calc_rise_time_0.2_0.8 s,Ca$^{2+}$ DT Max-0.8 [s] vs Ca$^{2+}$ RT 0.2-0.8 [s],131
force_peak_amplitude vs force_rise_time_0.2_0.8 s,force_peak_amplitude,force_rise_time_0.2_0.8 s,Force Peak Amplitude [mN] vs Force RT 0.2-0.8 [s],132
force_rise_time_0.8_max s vs local_frequency[Hz],force_rise_time_0.8_max s,local_frequency[Hz],Force RT 0.8-Max [s] vs Local Frequency [Hz],133
calc_decay_time_max_0.8 s vs calc_rise_time_0.8_max s,calc_decay_time_max_0.8 s,calc_rise_time_0.8_max s,Ca$^{2+}$ DT Max-0.8 [s] vs Ca$^{2+}$ RT 0.8-Max [s],134
calc_rise_time_0.2_0.8 s vs force_peak_amplitude,calc_rise_time_0.2_0.8 s,force_peak_amplitude,Ca$^{2+}$ RT 0.2-0.8 [s] vs Force Peak Amplitude [mN],135
calc_peak_amplitude vs force_rise_time_0.8_max s,calc_peak_amplitude,force_rise_time_0.8_max s,Ca$^{2+}$ Peak Amplitude [a.u.] vs Force RT 0.8-Max [s],136
force_width_0.8 s vs local_frequency[Hz],force_width_0.8 s,local_frequency[Hz],Force Width 0.8 [s] vs Local Frequency [Hz],137
calc_peak_amplitude vs calc_rise_time_0.8_max s,calc_peak_amplitude,calc_rise_time_0.8_max s,Ca$^{2+}$ Peak Amplitude [a.u.] vs Ca$^{2+}$ RT 0.8-Max [s],138
calc_peak_amplitude vs duration,calc_peak_amplitude,duration,Ca$^{2+}$ Peak Amplitude [a.u.] vs FPD [s],139
force_width_0.5 s vs local_frequency[Hz],force_width_0.5 s,local_frequency[Hz],Force Width 0.5 [s] vs Local Frequency [Hz],140
calc_decay_time_0.2_0.8 s vs local_frequency[Hz],calc_decay_time_0.2_0.8 s,local_frequency[Hz],Ca$^{2+}$ DT 0.2-0.8 [s] vs Local Frequency [Hz],141
duration vs force_rise_time_0.2_0.8 s,duration,force_rise_time_0.2_0.8 s,FPD [s] vs Force RT 0.2-0.8 [s],142
calc_width_0.5 s vs local_frequency[Hz],calc_width_0.5 s,local_frequency[Hz],Ca$^{2+}$ Width 0.5 [s] vs Local Frequency [Hz],143
calc_width_0.2 s vs local_frequency[Hz],calc_width_0.2 s,local_frequency[Hz],Ca$^{2+}$ Width 0.2 [s] vs Local Frequency [Hz],144
force_width_0.2 s vs local_frequency[Hz],force_width_0.2 s,local_frequency[Hz],Force Width 0.2 [s] vs Local Frequency [Hz],145
calc_width_0.8 s vs local_frequency[Hz],calc_width_0.8 s,local_frequency[Hz],Ca$^{2+}$ Width 0.8 [s] vs Local Frequency [Hz],146
force_decay_time_0.2_0.8 s vs local_frequency[Hz],force_decay_time_0.2_0.8 s,local_frequency[Hz],Force DT 0.2-0.8 [s] vs Local Frequency [Hz],147
calc_decay_time_max_0.8 s vs local_frequency[Hz],calc_decay_time_max_0.8 s,local_frequency[Hz],Ca$^{2+}$ DT Max-0.8 [s] vs Local Frequency [Hz],148
force_decay_time_max_0.8 s vs local_frequency[Hz],force_decay_time_max_0.8 s,local_frequency[Hz],Force DT Max-0.8 [s] vs Local Frequency [Hz],149
calc_peak_amplitude vs local_frequency[Hz],calc_peak_amplitude,local_frequency[Hz],Ca$^{2+}$ Peak Amplitude [a.u.] vs Local Frequency [Hz],150
force_rise_time_0.2_0.8 s vs local_frequency[Hz],force_rise_time_0.2_0.8 s,local_frequency[Hz],Force RT 0.2-0.8 [s] vs Local Frequency [Hz],151
calc_peak_amplitude vs force_rise_time_0.2_0.8 s,calc_peak_amplitude,force_rise_time_0.2_0.8 s,Ca$^{2+}$ Peak Amplitude [a.u.] vs Force RT 0.2-0.8 [s],152
calc_peak_amplitude vs calc_rise_time_0.2_0.8 s,calc_peak_amplitude,calc_rise_time_0.2_0.8 s,Ca$^{2+}$ Peak Amplitude [a.u.] vs Ca$^{2+}$ RT 0.2-0.8 [s],153
