feature1,feature2,correlation_mean,correlation_std,shapiro_p_value,is_normal,positive_proportion,negative_proportion,ci_95,correlated,correlation_type
calc_width_0.5 s,force_width_0.2 s,0.8752,0.0246,0.0,False,1.0,0.0,"(0.82, 0.918)",True,positive
calc_width_0.5 s,force_width_0.8 s,0.8331,0.0295,0.0,False,1.0,0.0,"(0.769, 0.882)",True,positive
calc_width_0.5 s,force_rise_time_0.2_0.8 s,0.8328,0.035,0.0,False,1.0,0.0,"(0.755, 0.893)",True,positive
calc_width_0.5 s,force_rise_time_0.8_max s,0.7471,0.0398,0.0,False,1.0,0.0,"(0.662, 0.815)",True,positive
calc_width_0.5 s,force_decay_time_max_0.8 s,0.7233,0.0441,0.0,False,1.0,0.0,"(0.631, 0.796)",True,positive
calc_width_0.5 s,force_decay_time_0.2_0.8 s,0.7967,0.0375,0.0,False,1.0,0.0,"(0.72, 0.862)",True,positive
calc_width_0.5 s,calc_peak_amplitude,0.4129,0.0783,0.0022,False,1.0,0.0,"(0.246, 0.553)",True,positive
calc_width_0.2 s,duration,0.4399,0.0779,0.0053,False,1.0,0.0,"(0.275, 0.58)",True,positive
calc_width_0.2 s,force_peak_amplitude,0.6517,0.0662,0.0,False,1.0,0.0,"(0.504, 0.769)",True,positive
calc_width_0.2 s,force_width_0.5 s,0.6008,0.0712,0.0,False,1.0,0.0,"(0.449, 0.726)",True,positive
calc_width_0.2 s,force_width_0.2 s,0.6012,0.0706,0.0001,False,1.0,0.0,"(0.455, 0.729)",True,positive
calc_width_0.2 s,force_width_0.8 s,0.5456,0.0733,0.0005,False,1.0,0.0,"(0.388, 0.677)",True,positive
calc_width_0.2 s,force_rise_time_0.2_0.8 s,0.5783,0.0724,0.0,False,1.0,0.0,"(0.415, 0.708)",True,positive
calc_width_0.2 s,force_rise_time_0.8_max s,0.4985,0.0708,0.0072,False,1.0,0.0,"(0.353, 0.634)",True,positive
calc_width_0.2 s,force_decay_time_max_0.8 s,0.504,0.0701,0.0081,False,1.0,0.0,"(0.362, 0.632)",True,positive
calc_width_0.2 s,force_decay_time_0.2_0.8 s,0.5267,0.0737,0.0005,False,1.0,0.0,"(0.372, 0.662)",True,positive
calc_width_0.2 s,calc_peak_amplitude,0.1507,0.0851,0.4787,True,0.96,0.04,"(-0.026, 0.315)",False,inconclusive
calc_width_0.2 s,calc_width_0.5 s,0.6308,0.0676,0.0001,False,1.0,0.0,"(0.481, 0.75)",True,positive
calc_width_0.8 s,duration,0.6906,0.0503,0.0001,False,1.0,0.0,"(0.584, 0.783)",True,positive
calc_width_0.8 s,force_peak_amplitude,0.8184,0.0352,0.0,False,1.0,0.0,"(0.744, 0.88)",True,positive
calc_width_0.8 s,force_width_0.5 s,0.8237,0.0359,0.0,False,1.0,0.0,"(0.751, 0.883)",True,positive
calc_width_0.8 s,force_width_0.2 s,0.8175,0.0373,0.0,False,1.0,0.0,"(0.74, 0.882)",True,positive
calc_width_0.8 s,force_width_0.8 s,0.7924,0.0368,0.0,False,1.0,0.0,"(0.715, 0.856)",True,positive
calc_width_0.8 s,force_rise_time_0.2_0.8 s,0.7829,0.0439,0.0,False,1.0,0.0,"(0.69, 0.858)",True,positive
calc_width_0.8 s,force_rise_time_0.8_max s,0.6953,0.0475,0.0001,False,1.0,0.0,"(0.6, 0.78)",True,positive
