baseline,e4031,nifedipine,ca_titration
0.4339892473118279,0.4729516129032258,0.33527609427609434,0.5001592741935484
3.6306451612903228,3.8848064516129033,2.2266363636363637,1.4966209677419353
0.25419354838709685,0.235,0.19569023569023566,0.25268145161290323
0.36655913978494614,0.3398387096774194,0.28895622895622897,0.3627016129032258
0.148494623655914,0.13790322580645167,0.11316498316498316,0.1482459677419355
0.0990322580645161,0.09524193548387097,0.08407407407407406,0.09582661290322582
0.07172043010752689,0.06717741935483876,0.05585858585858586,0.07006048387096778
0.07645161290322583,0.0699193548387097,0.05757575757575758,0.07778225806451614
0.11903225806451614,0.10806451612903227,0.09292929292929292,0.11971774193548389
1.219010752688172,1.2068548387096774,0.6770067340067341,0.6220806451612904
0.4976344086021505,0.43806451612903224,0.38649831649831645,0.4369153225806452
0.8408602150537635,0.7311290322580645,0.681043771043771,0.7276209677419354
0.26365591397849464,0.24161290322580645,0.20225589225589224,0.2347177419354839
0.09838709677419354,0.09846774193548387,0.08942760942760943,0.12332661290322583
0.09483870967741934,0.09282258064516129,0.07885521885521886,0.1062701612903226
0.1682795698924731,0.14887096774193548,0.12346801346801348,0.12804435483870968
0.4786021505376342,0.39153225806451614,0.38983164983164986,0.36931451612903227
0.36965642869754545,0.47811933673172347,0.390965282115381,0.694583696785523
